"﻿""activities-heart__value__heartRateZones__caloriesOut""";activities-heart__value__heartRateZones__max;activities-heart__value__heartRateZones__min;activities-heart__value__heartRateZones__minutes;activities-heart__value__heartRateZones__name;activities-heart__value__restingHeartRate;activities-heart__dateTime;activities-heart-intraday__dataset__time;activities-heart-intraday__dataset__value;activities-heart-intraday__datasetInterval;activities-heart-intraday__datasetType
;;;;;;;00:57:00;48;;
;;;;;;;00:58:00;50;;
;;;;;;;00:59:00;46;;
;;;;;;;01:00:00;47;;
;;;;;;;01:01:00;47;;
;;;;;;;01:02:00;48;;
;;;;;;;01:03:00;47;;
;;;;;;;01:04:00;49;;
;;;;;;;01:05:00;49;;
;;;;;;;01:06:00;47;;
;;;;;;;01:07:00;45;;
;;;;;;;01:08:00;46;;
;;;;;;;01:09:00;46;;
;;;;;;;01:10:00;46;;
;;;;;;;01:11:00;46;;
;;;;;;;01:12:00;47;;
;;;;;;;01:13:00;47;;
;;;;;;;01:14:00;47;;
;;;;;;;01:15:00;47;;
;;;;;;;01:16:00;48;;
;;;;;;;01:17:00;47;;
;;;;;;;01:18:00;47;;
;;;;;;;01:19:00;47;;
;;;;;;;01:20:00;47;;
;;;;;;;01:21:00;46;;
;;;;;;;01:22:00;48;;
;;;;;;;01:23:00;47;;
;;;;;;;01:24:00;47;;
;;;;;;;01:25:00;48;;
;;;;;;;01:26:00;49;;
;;;;;;;01:27:00;49;;
;;;;;;;01:28:00;48;;
;;;;;;;01:29:00;50;;
;;;;;;;01:30:00;48;;
;;;;;;;01:31:00;49;;
;;;;;;;01:32:00;48;;
;;;;;;;01:33:00;48;;
;;;;;;;01:34:00;48;;
;;;;;;;01:35:00;49;;
;;;;;;;01:36:00;48;;
;;;;;;;01:37:00;51;;
;;;;;;;01:38:00;48;;
;;;;;;;01:39:00;49;;
;;;;;;;01:40:00;49;;
;;;;;;;01:41:00;49;;
;;;;;;;01:42:00;51;;
;;;;;;;01:43:00;50;;
;;;;;;;01:44:00;49;;
;;;;;;;01:45:00;50;;
;;;;;;;01:46:00;52;;
;;;;;;;01:47:00;55;;
;;;;;;;01:48:00;54;;
;;;;;;;01:49:00;54;;
;;;;;;;01:50:00;55;;
;;;;;;;01:51:00;56;;
;;;;;;;01:52:00;52;;
;;;;;;;01:53:00;54;;
;;;;;;;01:54:00;54;;
;;;;;;;01:55:00;54;;
;;;;;;;01:56:00;57;;
;;;;;;;01:57:00;53;;
;;;;;;;01:58:00;52;;
;;;;;;;01:59:00;54;;
;;;;;;;02:00:00;53;;
;;;;;;;02:01:00;54;;
;;;;;;;02:02:00;54;;
;;;;;;;02:03:00;53;;
;;;;;;;02:04:00;54;;
;;;;;;;02:05:00;52;;
;;;;;;;02:06:00;52;;
;;;;;;;02:07:00;51;;
;;;;;;;02:08:00;51;;
;;;;;;;02:09:00;51;;
;;;;;;;02:10:00;51;;
;;;;;;;02:11:00;51;;
;;;;;;;02:12:00;52;;
;;;;;;;02:13:00;51;;
;;;;;;;02:14:00;52;;
;;;;;;;02:15:00;52;;
;;;;;;;02:16:00;51;;
;;;;;;;02:17:00;51;;
;;;;;;;02:18:00;52;;
;;;;;;;02:19:00;52;;
;;;;;;;02:20:00;52;;
;;;;;;;02:21:00;52;;
;;;;;;;02:22:00;53;;
;;;;;;;02:23:00;51;;
;;;;;;;02:24:00;51;;
;;;;;;;02:25:00;52;;
;;;;;;;02:26:00;53;;
;;;;;;;02:27:00;52;;
;;;;;;;02:28:00;52;;
;;;;;;;02:29:00;52;;
;;;;;;;02:30:00;58;;
;;;;;;;02:31:00;50;;
;;;;;;;02:32:00;50;;
;;;;;;;02:33:00;53;;
;;;;;;;02:34:00;53;;
;;;;;;;02:35:00;52;;
;;;;;;;02:36:00;52;;
;;;;;;;02:37:00;51;;
;;;;;;;02:38:00;51;;
;;;;;;;02:39:00;51;;
;;;;;;;02:40:00;52;;
;;;;;;;02:41:00;53;;
;;;;;;;02:42:00;53;;
;;;;;;;02:43:00;53;;
;;;;;;;02:44:00;53;;
;;;;;;;02:45:00;53;;
;;;;;;;02:46:00;54;;
;;;;;;;02:47:00;53;;
;;;;;;;02:48:00;52;;
;;;;;;;02:49:00;53;;
;;;;;;;02:50:00;53;;
;;;;;;;02:51:00;57;;
;;;;;;;02:52:00;50;;
;;;;;;;02:53:00;52;;
;;;;;;;02:54:00;51;;
;;;;;;;02:55:00;51;;
;;;;;;;02:56:00;50;;
;;;;;;;02:57:00;51;;
;;;;;;;02:58:00;51;;
;;;;;;;02:59:00;50;;
;;;;;;;03:00:00;52;;
;;;;;;;03:01:00;57;;
;;;;;;;03:02:00;50;;
;;;;;;;03:03:00;49;;
;;;;;;;03:04:00;48;;
;;;;;;;03:05:00;49;;
;;;;;;;03:06:00;49;;
;;;;;;;03:07:00;48;;
;;;;;;;03:08:00;51;;
;;;;;;;03:09:00;52;;
;;;;;;;03:10:00;52;;
;;;;;;;03:11:00;52;;
;;;;;;;03:12:00;50;;
;;;;;;;03:13:00;54;;
;;;;;;;03:14:00;53;;
;;;;;;;03:15:00;58;;
;;;;;;;03:16:00;52;;
;;;;;;;03:17:00;51;;
;;;;;;;03:18:00;52;;
;;;;;;;03:19:00;57;;
;;;;;;;03:20:00;52;;
;;;;;;;03:21:00;50;;
;;;;;;;03:22:00;49;;
;;;;;;;03:23:00;50;;
;;;;;;;03:24:00;51;;
;;;;;;;03:25:00;54;;
;;;;;;;03:26:00;50;;
;;;;;;;03:27:00;50;;
;;;;;;;03:28:00;49;;
;;;;;;;03:29:00;48;;
;;;;;;;03:30:00;48;;
;;;;;;;03:31:00;49;;
;;;;;;;03:32:00;49;;
;;;;;;;03:33:00;49;;
;;;;;;;03:34:00;48;;
;;;;;;;03:35:00;48;;
;;;;;;;03:36:00;48;;
;;;;;;;03:37:00;48;;
;;;;;;;03:38:00;47;;
;;;;;;;03:39:00;50;;
;;;;;;;03:40:00;50;;
;;;;;;;03:41:00;47;;
;;;;;;;03:42:00;49;;
;;;;;;;03:43:00;49;;
;;;;;;;03:44:00;48;;
;;;;;;;03:45:00;48;;
;;;;;;;03:46:00;48;;
;;;;;;;03:47:00;51;;
;;;;;;;03:48:00;50;;
;;;;;;;03:49:00;49;;
;;;;;;;03:50:00;48;;
;;;;;;;03:51:00;46;;
;;;;;;;03:52:00;47;;
;;;;;;;03:53:00;47;;
;;;;;;;03:54:00;48;;
;;;;;;;03:55:00;48;;
;;;;;;;03:56:00;48;;
;;;;;;;03:57:00;49;;
;;;;;;;03:58:00;49;;
;;;;;;;03:59:00;49;;
;;;;;;;04:00:00;49;;
;;;;;;;04:01:00;49;;
;;;;;;;04:02:00;49;;
;;;;;;;04:03:00;49;;
;;;;;;;04:04:00;49;;
;;;;;;;04:05:00;49;;
;;;;;;;04:06:00;49;;
;;;;;;;04:07:00;50;;
;;;;;;;04:08:00;50;;
;;;;;;;04:09:00;50;;
;;;;;;;04:10:00;49;;
;;;;;;;04:11:00;49;;
;;;;;;;04:12:00;49;;
;;;;;;;04:13:00;49;;
;;;;;;;04:14:00;49;;
;;;;;;;04:15:00;49;;
;;;;;;;04:16:00;48;;
;;;;;;;04:17:00;56;;
;;;;;;;04:18:00;49;;
;;;;;;;04:19:00;49;;
;;;;;;;04:20:00;51;;
;;;;;;;04:21:00;49;;
;;;;;;;04:22:00;50;;
;;;;;;;04:23:00;51;;
;;;;;;;04:24:00;52;;
;;;;;;;04:25:00;51;;
;;;;;;;04:26:00;52;;
;;;;;;;04:27:00;51;;
;;;;;;;04:28:00;51;;
;;;;;;;04:29:00;51;;
;;;;;;;04:30:00;51;;
;;;;;;;04:31:00;51;;
;;;;;;;04:32:00;52;;
;;;;;;;04:33:00;51;;
;;;;;;;04:34:00;51;;
;;;;;;;04:35:00;51;;
;;;;;;;04:36:00;51;;
;;;;;;;04:37:00;51;;
;;;;;;;04:38:00;50;;
;;;;;;;04:39:00;51;;
;;;;;;;04:40:00;58;;
;;;;;;;04:41:00;51;;
;;;;;;;04:42:00;48;;
;;;;;;;04:43:00;47;;
;;;;;;;04:44:00;48;;
;;;;;;;04:45:00;46;;
;;;;;;;04:46:00;47;;
;;;;;;;04:47:00;48;;
;;;;;;;04:48:00;47;;
;;;;;;;04:49:00;47;;
;;;;;;;04:50:00;48;;
;;;;;;;04:51:00;47;;
;;;;;;;04:52:00;48;;
;;;;;;;04:53:00;47;;
;;;;;;;04:54:00;48;;
;;;;;;;04:55:00;50;;
;;;;;;;04:56:00;48;;
;;;;;;;04:57:00;47;;
;;;;;;;04:58:00;48;;
;;;;;;;04:59:00;49;;
;;;;;;;05:00:00;48;;
;;;;;;;05:01:00;47;;
;;;;;;;05:02:00;48;;
;;;;;;;05:03:00;48;;
;;;;;;;05:04:00;48;;
;;;;;;;05:05:00;54;;
;;;;;;;05:06:00;48;;
;;;;;;;05:07:00;48;;
;;;;;;;05:08:00;48;;
;;;;;;;05:09:00;50;;
;;;;;;;05:10:00;52;;
;;;;;;;05:11:00;51;;
;;;;;;;05:12:00;51;;
;;;;;;;05:13:00;51;;
;;;;;;;05:14:00;50;;
;;;;;;;05:15:00;50;;
;;;;;;;05:16:00;53;;
;;;;;;;05:17:00;53;;
;;;;;;;05:18:00;52;;
;;;;;;;05:19:00;51;;
;;;;;;;05:20:00;49;;
;;;;;;;05:21:00;50;;
;;;;;;;05:22:00;57;;
;;;;;;;05:23:00;49;;
;;;;;;;05:24:00;49;;
;;;;;;;05:25:00;51;;
;;;;;;;05:26:00;50;;
;;;;;;;05:27:00;48;;
;;;;;;;05:28:00;47;;
;;;;;;;05:29:00;48;;
;;;;;;;05:30:00;47;;
;;;;;;;05:31:00;48;;
;;;;;;;05:32:00;52;;
;;;;;;;05:33:00;45;;
;;;;;;;05:34:00;47;;
;;;;;;;05:35:00;46;;
;;;;;;;05:36:00;46;;
;;;;;;;05:37:00;47;;
;;;;;;;05:38:00;47;;
;;;;;;;05:39:00;47;;
;;;;;;;05:40:00;47;;
;;;;;;;05:41:00;48;;
;;;;;;;05:42:00;47;;
;;;;;;;05:43:00;46;;
;;;;;;;05:44:00;48;;
;;;;;;;05:45:00;49;;
;;;;;;;05:46:00;47;;
;;;;;;;05:47:00;47;;
;;;;;;;05:48:00;48;;
;;;;;;;05:49:00;48;;
;;;;;;;05:50:00;47;;
;;;;;;;05:51:00;47;;
;;;;;;;05:52:00;48;;
;;;;;;;05:53:00;48;;
;;;;;;;05:54:00;47;;
;;;;;;;05:55:00;47;;
;;;;;;;05:56:00;48;;
;;;;;;;05:57:00;48;;
;;;;;;;05:58:00;46;;
;;;;;;;05:59:00;46;;
;;;;;;;06:00:00;48;;
;;;;;;;06:01:00;47;;
;;;;;;;06:02:00;48;;
;;;;;;;06:03:00;47;;
;;;;;;;06:04:00;47;;
;;;;;;;06:05:00;48;;
;;;;;;;06:06:00;48;;
;;;;;;;06:07:00;48;;
;;;;;;;06:08:00;47;;
;;;;;;;06:09:00;48;;
;;;;;;;06:10:00;47;;
;;;;;;;06:11:00;47;;
;;;;;;;06:12:00;48;;
;;;;;;;06:13:00;48;;
;;;;;;;06:14:00;48;;
;;;;;;;06:15:00;49;;
;;;;;;;06:16:00;48;;
;;;;;;;06:17:00;47;;
;;;;;;;06:18:00;47;;
;;;;;;;06:19:00;48;;
;;;;;;;06:20:00;48;;
;;;;;;;06:21:00;49;;
;;;;;;;06:22:00;60;;
;;;;;;;06:23:00;60;;
;;;;;;;06:24:00;47;;
;;;;;;;06:25:00;48;;
;;;;;;;06:26:00;47;;
;;;;;;;06:27:00;47;;
;;;;;;;06:28:00;48;;
;;;;;;;06:29:00;47;;
;;;;;;;06:30:00;47;;
;;;;;;;06:31:00;50;;
;;;;;;;06:32:00;47;;
;;;;;;;06:33:00;48;;
;;;;;;;06:34:00;49;;
;;;;;;;06:35:00;51;;
;;;;;;;06:36:00;51;;
;;;;;;;06:37:00;51;;
;;;;;;;06:38:00;51;;
;;;;;;;06:39:00;50;;
;;;;;;;06:40:00;49;;
;;;;;;;06:41:00;49;;
;;;;;;;06:42:00;52;;
;;;;;;;06:43:00;50;;
;;;;;;;06:44:00;49;;
;;;;;;;06:45:00;48;;
;;;;;;;06:46:00;49;;
;;;;;;;06:47:00;51;;
;;;;;;;06:48:00;49;;
;;;;;;;06:49:00;50;;
;;;;;;;06:50:00;50;;
;;;;;;;06:51:00;50;;
;;;;;;;06:52:00;50;;
;;;;;;;06:53:00;48;;
;;;;;;;06:54:00;48;;
;;;;;;;06:55:00;51;;
;;;;;;;06:56:00;49;;
;;;;;;;06:57:00;52;;
;;;;;;;06:58:00;49;;
;;;;;;;06:59:00;49;;
;;;;;;;07:00:00;66;;
;;;;;;;07:01:00;57;;
;;;;;;;07:02:00;51;;
;;;;;;;07:03:00;50;;
;;;;;;;07:04:00;50;;
;;;;;;;07:05:00;49;;
;;;;;;;07:06:00;50;;
;;;;;;;07:07:00;50;;
;;;;;;;07:08:00;51;;
;;;;;;;07:09:00;51;;
;;;;;;;07:10:00;56;;
;;;;;;;07:11:00;47;;
;;;;;;;07:12:00;46;;
;;;;;;;07:13:00;46;;
;;;;;;;07:14:00;46;;
;;;;;;;07:15:00;45;;
;;;;;;;07:16:00;45;;
;;;;;;;07:17:00;47;;
;;;;;;;07:18:00;45;;
;;;;;;;07:19:00;45;;
;;;;;;;07:20:00;45;;
;;;;;;;07:21:00;45;;
;;;;;;;07:22:00;45;;
;;;;;;;07:23:00;47;;
;;;;;;;07:24:00;44;;
;;;;;;;07:25:00;44;;
;;;;;;;07:26:00;44;;
;;;;;;;07:27:00;44;;
;;;;;;;07:28:00;43;;
;;;;;;;07:29:00;46;;
;;;;;;;07:30:00;46;;
;;;;;;;07:31:00;50;;
;;;;;;;07:32:00;45;;
;;;;;;;07:33:00;45;;
;;;;;;;07:34:00;45;;
;;;;;;;07:35:00;45;;
;;;;;;;07:36:00;45;;
;;;;;;;07:37:00;45;;
;;;;;;;07:38:00;46;;
;;;;;;;07:39:00;45;;
;;;;;;;07:40:00;45;;
;;;;;;;07:41:00;45;;
;;;;;;;07:42:00;45;;
;;;;;;;07:43:00;46;;
;;;;;;;07:44:00;47;;
;;;;;;;07:45:00;46;;
;;;;;;;07:46:00;46;;
;;;;;;;07:47:00;52;;
;;;;;;;07:48:00;50;;
;;;;;;;07:49:00;49;;
;;;;;;;07:50:00;50;;
;;;;;;;07:51:00;49;;
;;;;;;;07:52:00;48;;
;;;;;;;07:53:00;50;;
;;;;;;;07:54:00;49;;
;;;;;;;07:55:00;50;;
;;;;;;;07:56:00;51;;
;;;;;;;07:57:00;50;;
;;;;;;;07:58:00;51;;
;;;;;;;07:59:00;51;;
;;;;;;;08:00:00;49;;
;;;;;;;08:01:00;52;;
;;;;;;;08:02:00;51;;
;;;;;;;08:03:00;49;;
;;;;;;;08:04:00;49;;
;;;;;;;08:05:00;50;;
;;;;;;;08:06:00;55;;
;;;;;;;08:07:00;50;;
;;;;;;;08:08:00;50;;
;;;;;;;08:09:00;49;;
;;;;;;;08:10:00;50;;
;;;;;;;08:11:00;50;;
;;;;;;;08:12:00;52;;
;;;;;;;08:13:00;50;;
;;;;;;;08:14:00;50;;
;;;;;;;08:15:00;51;;
;;;;;;;08:16:00;50;;
;;;;;;;08:17:00;51;;
;;;;;;;08:18:00;50;;
;;;;;;;08:19:00;48;;
;;;;;;;08:20:00;51;;
;;;;;;;08:21:00;50;;
;;;;;;;08:22:00;51;;
;;;;;;;08:23:00;50;;
;;;;;;;08:24:00;49;;
;;;;;;;08:25:00;55;;
;;;;;;;08:26:00;47;;
;;;;;;;08:27:00;48;;
;;;;;;;08:28:00;49;;
;;;;;;;08:29:00;49;;
;;;;;;;08:30:00;47;;
;;;;;;;08:31:00;47;;
;;;;;;;08:32:00;48;;
;;;;;;;08:33:00;48;;
;;;;;;;08:34:00;48;;
;;;;;;;08:35:00;48;;
;;;;;;;08:36:00;49;;
;;;;;;;08:37:00;53;;
;;;;;;;08:38:00;55;;
;;;;;;;08:39:00;48;;
;;;;;;;08:40:00;56;;
;;;;;;;08:41:00;64;;
;;;;;;;08:42:00;69;;
;;;;;;;08:43:00;68;;
;;;;;;;08:44:00;65;;
;;;;;;;08:45:00;62;;
;;;;;;;08:46:00;73;;
;;;;;;;08:47:00;61;;
;;;;;;;08:48:00;63;;
;;;;;;;08:49:00;61;;
;;;;;;;08:50:00;65;;
;;;;;;;08:51:00;66;;
;;;;;;;08:52:00;71;;
;;;;;;;08:53:00;73;;
;;;;;;;08:54:00;69;;
;;;;;;;08:55:00;69;;
;;;;;;;08:56:00;72;;
;;;;;;;08:57:00;75;;
;;;;;;;08:58:00;80;;
;;;;;;;08:59:00;88;;
;;;;;;;09:00:00;79;;
;;;;;;;09:01:00;80;;
;;;;;;;09:02:00;74;;
;;;;;;;09:03:00;71;;
;;;;;;;09:04:00;65;;
;;;;;;;09:05:00;60;;
;;;;;;;09:06:00;58;;
;;;;;;;09:07:00;61;;
;;;;;;;09:08:00;59;;
;;;;;;;09:09:00;59;;
;;;;;;;09:10:00;60;;
;;;;;;;09:11:00;62;;
;;;;;;;09:12:00;61;;
;;;;;;;09:13:00;61;;
;;;;;;;09:14:00;60;;
;;;;;;;09:15:00;60;;
;;;;;;;09:16:00;61;;
;;;;;;;09:17:00;65;;
;;;;;;;09:18:00;69;;
;;;;;;;09:19:00;75;;
;;;;;;;09:20:00;77;;
;;;;;;;09:21:00;79;;
;;;;;;;09:22:00;77;;
;;;;;;;09:23:00;78;;
;;;;;;;09:24:00;81;;
;;;;;;;09:25:00;85;;
;;;;;;;09:26:00;86;;
;;;;;;;09:27:00;89;;
;;;;;;;09:28:00;81;;
;;;;;;;09:29:00;68;;
;;;;;;;09:30:00;60;;
;;;;;;;09:31:00;61;;
;;;;;;;09:32:00;58;;
;;;;;;;09:33:00;60;;
;;;;;;;09:34:00;59;;
;;;;;;;09:35:00;58;;
;;;;;;;09:36:00;60;;
;;;;;;;09:37:00;59;;
;;;;;;;09:38:00;59;;
;;;;;;;09:39:00;60;;
;;;;;;;09:40:00;67;;
;;;;;;;09:41:00;72;;
;;;;;;;09:42:00;63;;
;;;;;;;09:43:00;72;;
;;;;;;;09:44:00;64;;
;;;;;;;09:45:00;49;;
;;;;;;;09:46:00;48;;
;;;;;;;09:47:00;51;;
;;;;;;;09:48:00;56;;
;;;;;;;09:49:00;52;;
;;;;;;;09:50:00;59;;
;;;;;;;09:51:00;62;;
;;;;;;;09:52:00;62;;
;;;;;;;09:53:00;56;;
;;;;;;;09:54:00;54;;
;;;;;;;09:55:00;56;;
;;;;;;;09:56:00;50;;
;;;;;;;09:57:00;55;;
;;;;;;;09:58:00;51;;
;;;;;;;09:59:00;51;;
;;;;;;;10:00:00;55;;
;;;;;;;10:01:00;55;;
;;;;;;;10:02:00;53;;
;;;;;;;10:03:00;59;;
;;;;;;;10:04:00;56;;
;;;;;;;10:05:00;61;;
;;;;;;;10:06:00;52;;
;;;;;;;10:07:00;54;;
;;;;;;;10:08:00;56;;
;;;;;;;10:09:00;55;;
;;;;;;;10:10:00;55;;
;;;;;;;10:11:00;57;;
;;;;;;;10:12:00;54;;
;;;;;;;10:13:00;57;;
;;;;;;;10:14:00;54;;
;;;;;;;10:15:00;52;;
;;;;;;;10:16:00;55;;
;;;;;;;10:17:00;57;;
;;;;;;;10:18:00;55;;
;;;;;;;10:19:00;54;;
;;;;;;;10:20:00;52;;
;;;;;;;10:21:00;57;;
;;;;;;;10:22:00;56;;
;;;;;;;10:23:00;53;;
;;;;;;;10:24:00;56;;
;;;;;;;10:25:00;60;;
;;;;;;;10:26:00;66;;
;;;;;;;10:27:00;60;;
;;;;;;;10:28:00;59;;
;;;;;;;10:29:00;55;;
;;;;;;;10:30:00;54;;
;;;;;;;10:31:00;60;;
;;;;;;;10:32:00;67;;
;;;;;;;10:33:00;64;;
;;;;;;;10:34:00;58;;
;;;;;;;10:35:00;55;;
;;;;;;;10:36:00;59;;
;;;;;;;10:37:00;53;;
;;;;;;;10:38:00;56;;
;;;;;;;10:39:00;56;;
;;;;;;;10:40:00;60;;
;;;;;;;10:41:00;61;;
;;;;;;;10:42:00;58;;
;;;;;;;10:43:00;60;;
;;;;;;;10:44:00;58;;
;;;;;;;10:45:00;54;;
;;;;;;;10:46:00;55;;
;;;;;;;10:47:00;58;;
;;;;;;;10:48:00;53;;
;;;;;;;10:49:00;52;;
;;;;;;;10:50:00;54;;
;;;;;;;10:51:00;50;;
;;;;;;;10:52:00;55;;
;;;;;;;10:53:00;56;;
;;;;;;;10:54:00;64;;
;;;;;;;10:55:00;66;;
;;;;;;;10:56:00;55;;
;;;;;;;10:57:00;57;;
;;;;;;;10:58:00;63;;
;;;;;;;10:59:00;59;;
;;;;;;;11:00:00;67;;
;;;;;;;11:01:00;76;;
;;;;;;;11:02:00;84;;
;;;;;;;11:03:00;64;;
;;;;;;;11:04:00;64;;
;;;;;;;11:05:00;59;;
;;;;;;;11:06:00;55;;
;;;;;;;11:07:00;55;;
;;;;;;;11:08:00;57;;
;;;;;;;11:09:00;56;;
;;;;;;;11:10:00;55;;
;;;;;;;11:11:00;56;;
;;;;;;;11:12:00;57;;
;;;;;;;11:13:00;60;;
;;;;;;;11:14:00;63;;
;;;;;;;11:15:00;59;;
;;;;;;;11:16:00;57;;
;;;;;;;11:17:00;54;;
;;;;;;;11:18:00;53;;
;;;;;;;11:19:00;60;;
;;;;;;;11:20:00;60;;
;;;;;;;11:21:00;53;;
;;;;;;;11:22:00;55;;
;;;;;;;11:23:00;54;;
;;;;;;;11:24:00;57;;
;;;;;;;11:25:00;53;;
;;;;;;;11:26:00;52;;
;;;;;;;11:27:00;61;;
;;;;;;;11:28:00;64;;
;;;;;;;11:29:00;53;;
;;;;;;;11:30:00;54;;
;;;;;;;11:31:00;56;;
;;;;;;;11:32:00;56;;
;;;;;;;11:33:00;59;;
;;;;;;;11:34:00;57;;
;;;;;;;11:35:00;62;;
;;;;;;;11:36:00;56;;
;;;;;;;11:37:00;55;;
;;;;;;;11:38:00;59;;
;;;;;;;11:39:00;56;;
;;;;;;;11:40:00;57;;
;;;;;;;11:41:00;59;;
;;;;;;;11:42:00;58;;
;;;;;;;11:43:00;60;;
;;;;;;;11:44:00;61;;
;;;;;;;11:45:00;67;;
;;;;;;;11:46:00;61;;
;;;;;;;11:47:00;56;;
;;;;;;;11:48:00;57;;
;;;;;;;11:49:00;55;;
;;;;;;;11:50:00;61;;
;;;;;;;11:51:00;63;;
;;;;;;;11:52:00;77;;
;;;;;;;11:53:00;83;;
;;;;;;;11:54:00;74;;
;;;;;;;11:55:00;61;;
;;;;;;;11:56:00;50;;
;;;;;;;11:57:00;51;;
;;;;;;;11:58:00;53;;
;;;;;;;11:59:00;50;;
;;;;;;;12:00:00;50;;
;;;;;;;12:01:00;51;;
;;;;;;;12:02:00;56;;
;;;;;;;12:03:00;53;;
;;;;;;;12:04:00;55;;
;;;;;;;12:05:00;51;;
;;;;;;;12:06:00;51;;
;;;;;;;12:07:00;52;;
;;;;;;;12:08:00;51;;
;;;;;;;12:09:00;51;;
;;;;;;;12:10:00;58;;
;;;;;;;12:11:00;62;;
;;;;;;;12:12:00;55;;
;;;;;;;12:13:00;54;;
;;;;;;;12:14:00;58;;
;;;;;;;12:15:00;54;;
;;;;;;;12:16:00;51;;
;;;;;;;12:17:00;51;;
;;;;;;;12:18:00;53;;
;;;;;;;12:19:00;53;;
;;;;;;;12:20:00;53;;
;;;;;;;12:21:00;50;;
;;;;;;;12:22:00;52;;
;;;;;;;12:23:00;53;;
;;;;;;;12:24:00;53;;
;;;;;;;12:25:00;52;;
;;;;;;;12:26:00;53;;
;;;;;;;12:27:00;59;;
;;;;;;;12:28:00;70;;
;;;;;;;12:29:00;56;;
;;;;;;;12:30:00;58;;
;;;;;;;12:31:00;58;;
;;;;;;;12:32:00;58;;
;;;;;;;12:33:00;55;;
;;;;;;;12:34:00;57;;
;;;;;;;12:35:00;65;;
;;;;;;;12:36:00;56;;
;;;;;;;12:37:00;64;;
;;;;;;;12:38:00;57;;
;;;;;;;12:39:00;59;;
;;;;;;;12:40:00;59;;
;;;;;;;12:41:00;64;;
;;;;;;;12:42:00;57;;
;;;;;;;12:43:00;59;;
;;;;;;;12:44:00;71;;
;;;;;;;12:45:00;62;;
;;;;;;;12:46:00;57;;
;;;;;;;12:47:00;59;;
;;;;;;;12:48:00;65;;
;;;;;;;12:49:00;60;;
;;;;;;;12:50:00;54;;
;;;;;;;12:51:00;65;;
;;;;;;;12:52:00;72;;
;;;;;;;12:53:00;67;;
;;;;;;;12:54:00;69;;
;;;;;;;12:55:00;77;;
;;;;;;;12:56:00;70;;
;;;;;;;12:57:00;79;;
;;;;;;;12:58:00;82;;
;;;;;;;12:59:00;86;;
;;;;;;;13:00:00;92;;
;;;;;;;13:01:00;90;;
;;;;;;;13:02:00;86;;
;;;;;;;13:03:00;80;;
;;;;;;;13:04:00;80;;
;;;;;;;13:05:00;78;;
;;;;;;;13:06:00;65;;
;;;;;;;13:07:00;64;;
;;;;;;;13:08:00;61;;
;;;;;;;13:09:00;60;;
;;;;;;;13:10:00;60;;
;;;;;;;13:11:00;59;;
;;;;;;;13:12:00;57;;
;;;;;;;13:13:00;56;;
;;;;;;;13:14:00;54;;
;;;;;;;13:15:00;55;;
;;;;;;;13:16:00;55;;
;;;;;;;13:17:00;58;;
